@evid          Date(GMT)   Origin_Time(GMT)  ID_No.  Country  Region        Source  Lat         Long          mb    Ms   Depth(km)  Yield_lower  Yield_upper  Purpose    Type      Name                                Footnote_Available?  fsu  llnl  lasa
194507161229  1945-07-16  122900.00         45001   USA      ALAMOGORDO    DOE     33.677280   -106.475378   0     0    -0.1       21           21           WR         TOWER     TRINITY                             Na                   Na   Na    Na
194606302200  1946-06-30  220000.00         46001   USA      BIKINI        DOE     11.590000   165.516700    0     0    -0.2       21           21           WE         AIRDROP   ABLE(Operation_Crossroads)          Na                   Na   Na    Na
194607242135  1946-07-24  213500.00         46002   USA      BIKINI        DOE     11.589200   165.518200    0     0    0.03       21           21           WE         UW        BAKER(Operation_Crossroads)         Na                   Na   Na    Na
194804141817  1948-04-14  181700.00         48001   USA      ENEWETAK      DOE     11.665300   162.234000    0     0    -0.08      37           37           WR         TOWER     X-RAY                               Na                   Na   Na    Na
194804301809  1948-04-30  180900.00         48002   USA      ENEWETAK      DOE     11.619410   162.313825    0     0    -0.08      49           49           WR         TOWER     YOKE                                Na                   Na   Na    Na
194805151804  1948-05-14  180400.00         48003   USA      ENEWETAK      DOE     11.551450   162.348100    0     0    -0.08      18           18           WR         TOWER     ZEBRA                               Na                   Na   Na    Na
194908290120  1949-08-29  012000.0          49001   USSR     SEMI_KAZAKH   DOE     48          76            0     0    0          22           22           WR         SURFACE   unkn                                Na                   Na   Na    Na
195101271345  1951-01-27  134500.00         51001   USA      NTS           DOE     36.805100   -115.950200   0     0    -0.35      1            1            WR         AIRDROP   ABLE(Operation_Ranger)              Na                   Na   Na    Na
195101281352  1951-01-28  135200.00         51002   USA      NTS           DOE     36.805100   -115.950200   0     0    -0.35      8            8            WR         AIRDROP   BAKER(Operation_Ranger)             Na                   Na   Na    Na
195102011347  1951-02-01  134700.00         51003   USA      NTS           DOE     36.805100   -115.950200   0     0    -0.35      1            1            WR         AIRDROP   EASY(Operation_Ranger)              Na                   Na   Na    Na
195102021349  1951-02-02  134900.00         51004   USA      NTS           DOE     36.805100   -115.950200   0     0    -0.4       8            8            WR         AIRDROP   BAKER2                              Na                   Na   Na    Na
195102061347  1951-02-06  134700.00         51005   USA      NTS           DOE     36.805100   -115.950200   0     0    -0.5       22           22           WR         AIRDROP   FOX(Operation_Ranger)               Na                   Na   Na    Na
195104071834  1951-04-07  183400.00         51006   USA      ENEWETAK      DOE     11.551866   162.347893    0     0    -0.1       81           81           WR         TOWER     DOG(Operation_Greenhouse)           Na                   Na   Na    Na
195104201827  1951-04-20  182700.00         51007   USA      ENEWETAK      DOE     11.665400   162.233800    0     0    -0.1       47           47           WR         TOWER     EASY(Operation_Greenhouse)          Na                   Na   Na    Na
195105082130  1951-05-08  213000.00         51008   USA      ENEWETAK      DOE     11.624300   162.303900    0     0    -0.07      225          225          WR         TOWER     GEORGE(Operation_Greenhouse)        F                    Na   Na    Na
195105241817  1951-05-24  181700.00         51009   USA      ENEWETAK      DOE     11.669300   162.241500    0     0    -0.07      45.5         45.5         WR         TOWER     ITEM                                Na                   Na   Na    Na
195109240000  1951-09-24  000000.0          51010   USSR     SEMI_KAZAKH   DOE     48          76            0     0    0          38           38           WR         SURFACE   unkn                                Na                   Na   Na    Na
