#   Sourced from U.S. Department of Energy (DOE), National Nuclear Security Administration, 
#    Nevada Field Office "United States Nuclear Tests July 1945 through September 1992" report (DOE/NV-209, 2016)
#   Edited and reformatted by Louisa Barama August 2021 (lbarama@gatech.edu)
#------------------------------------------------------------------------------------------------------------------#
Test  Detonation                          Date(GMT)   Sponsor       Location                   Hole          Type        Time(GMT)    Lat         Long          Surface_Elev(ft)  Height/Depth(ft)  Purpose                              Yield_Range(kt)  Test
240   Aardvark                            05/12/1962  LANL          NNSS                       U3amS         Shaft       19:00:00.10  37.065145   -116.031247   4071              -1424             Weapons_Related                      40               240
659   Abeytas                             11/05/1970  LANL          NNSS                       U3gx          Shaft       15:00:00.04  37.029416   -116.012685   3987              -1291             Weapons_Related                      20_to_200        659
1006  Abilene                             04/07/1988  LANL          NNSS                       U3mn          Shaft       17:15:00.08  37.013110   -116.045193   3985              -804              Weapons_Related                      Less_than_20     1006
2     Able(Operation_Crossroads)          06/30/1946  LANL/DoD      Bikini_Atoll               UNKN          Airdrop     22:00:00.00  11.590000   165.516700    0                 523               Weapons_Effects                      21               2
7     Able(Operation_Ranger)              01/27/1951  LANL          NNSS                       Area_5        Airdrop     13:45:00.00  36.805100   -115.950200   3140              1060              Weapons_Related                      1                7
16    Able(Operation_Buster)              10/22/1951  LANL          NNSS                       Area_7        Tower       14:00:00.00  37.083250   -116.024700   4169              100               Weapons_Related                      Less_than_0.1    16
23    Able(Operation_Tumbler-Snapper)     04/01/1952  LANL/DoD      NNSS                       Area_5        Airdrop     17:00:00.00  36.797966   -115.936418   3077              793               Weapons_Effects                      1                23
972   Abo                                 10/30/1985  LANL          NNSS                       U3mc          Shaft       16:00:00.09  37.050560   -116.037006   4032              -644              Weapons_Related                      Less_than_20     972
502   Absinthe                            05/26/1967  LANL          NNSS                       U3ep          Shaft       12:30:00.03  37.044975   -116.019919   4022              -389              Safety_Experiment                    Less_than_20     502
368   Ace                                 06/11/1964  LLNL          NNSS                       U2n           Shaft       16:45:00.15  37.148555   -116.076866   4353              -874              Plowshare                            3                368
306   Acushi                              02/08/1963  LANL          NNSS                       U3bg          Shaft       18:30:00.14  37.046085   -116.021966   4022              -856              Weapons_Related                      Low              306
227   Adobe                               04/25/1962  LANL          Christmas_Island_area      UNKN          Airdrop     15:46:00.00  1.565000    -157.365000   0                 2900              Weapons_Related                      190              227
548   Adze                                05/28/1968  LANL          NNSS                       U3fw          Shaft       14:45:00.04  37.008586   -115.996256   3987              -788              Weapons_Related                      Less_than_20     548
490   Agile                               02/23/1967  LLNL          NNSS                       U2v           Shaft       18:50:00.13  37.126802   -116.067248   4256              -2406             Weapons_Related                      20_to_200        490
206   Agouti                              01/18/1962  LANL          NNSS                       U3ao          Shaft       18:00:00.13  37.047200   -116.035232   4027              -856              Weapons_Related                      6.4              206
940   Agrini                              03/31/1984  LLNL          NNSS                       U2ev          Shaft       14:30:00.08  37.146392   -116.084933   4366              -1050             Weapons_Related                      Less_than_20     940
335   Ahtanum                             09/13/1963  LLNL          NNSS                       U2l           Shaft       13:53:00.15  37.163323   -116.081512   4419              -742              Weapons_Related                      Low              335
477   Ajax                                11/11/1966  LLNL          NNSS                       U9al          Shaft       12:00:00.14  37.134409   -116.050724   4202              -782              Weapons_Related                      Less_than_20     477
629   Ajo                                 01/30/1970  LANL          NNSS                       U3gd          Shaft       17:00:00.04  37.030776   -116.035631   3998              -998              Weapons_Related                      Less_than_20     629
897   Akavi                               12/03/1981  LLNL          NNSS                       U2es          Shaft       15:00:00.10  37.148387   -116.071710   4332              -1621             Weapons_Related                      20_to_150        897
711   Akbar                               11/09/1972  LLNL          NNSS                       U10ax         Shaft       15:15:00.16  37.161994   -116.034024   4337              -875              Weapons_Related                      Less_than_20     711
1012  Alamo                               07/07/1988  LANL          NNSS                       U19au         Shaft       15:05:30.07  37.252392   -116.377565   6534              -2041             Weapons_Related                      Less_than_150    1012
985   Aleman                              09/11/1986  LANL          NNSS                       U3kz          Shaft       14:57:00.11  37.069032   -116.050561   4085              -1649             Weapons_Related                      Less_than_20     985
679   Algodones                           08/18/1971  LANL          NNSS                       U3jn          Shaft       14:00:00.03  37.057143   -116.037199   4046              -1731             Weapons_Related                      20_to_200        679
886   Aligote                             05/29/1981  LANL          NNSS                       U7bg          Shaft       16:00:00.09  37.101805   -116.004931   4388              -1050             Weapons_Related                      Less_than_20     886
598   Aliment                             05/15/1969  LANL          NNSS                       U3gj          Shaft       18:00:00.04  37.011826   -115.985945   4049              -789              Weapons_Related                      Less_than_20     598
279   Allegheny                           09/29/1962  LLNL          NNSS                       U9x           Shaft       17:00:00.15  37.116630   -116.033647   4258              -692              Weapons_Related                      Low              279
249   Alma                                06/08/1962  LANL          Christmas_Island_area      UNKN          Airdrop     17:02:00.00  1.380000    -157.195000   0                 8865              Weapons_Related                      782              249
730   Almendro                            06/06/1973  LANL          NNSS                       U19v          Shaft       13:00:00.08  37.245010   -116.346905   6876              -3499             Weapons_Related                      200_to_1000      730
400   Alpaca                              02/12/1965  LLNL          NNSS                       U2a           Shaft       15:10:29.49  37.164484   -116.077415   4402              -738              Weapons_Related                      .330             400
718   Alumroot                            02/14/1973  LLNL          NNSS                       U9cj          Shaft       15:30:00.16  37.147045   -116.050962   4237              -600              Weapons_Related                      Less_than_20     718
